,WH,Cost/unit
0,PLANT15,1.4150633766876566
1,PLANT17,0.42894658708921174
2,PLANT18,2.0362537598033468
3,PLANT05,0.48814438452738274
4,PLANT02,0.4775035189272224
5,PLANT01,0.5669761849295618
6,PLANT06,0.5540880976257885
7,PLANT10,0.4935818984829453
8,PLANT07,0.371423937425446
9,PLANT14,0.6343297377046666
10,PLANT16,1.9198075078524335
11,PLANT12,0.7731317943178858
12,PLANT11,0.5552472904512042
13,PLANT09,0.46507109738293506
14,PLANT03,0.5175018916254618
15,PLANT13,0.46970705658151307
16,PLANT19,0.6397625198174935
17,PLANT08,0.5228572991962216
18,PLANT04,0.42850329514821733
