,ARIMAX
2007-11-20,ENERGY
2008-05-22,UTILITIES
2008-11-19,CONSUMER_DISCRETIONARY
2009-05-22,REAL_ESTATE
2009-11-19,COMMUNICATION_SERVICES
2010-05-24,INFORMATION_TECHNOLOGY
2010-11-19,ENERGY
2011-05-23,INFORMATION_TECHNOLOGY
2011-11-18,ENERGY
2012-05-22,CONSUMER_DISCRETIONARY
2012-11-21,CONSUMER_STAPLES
2013-05-24,CONSUMER_STAPLES
2013-11-21,REAL_ESTATE
2014-05-27,MATERIALS
2014-11-21,ENERGY
2015-05-27,UTILITIES
2015-11-23,ENERGY
2016-05-25,UTILITIES
2016-11-22,CONSUMER_STAPLES
2017-05-25,HEALTH_CARE
2017-11-22,FINANCIALS
2018-05-25,INFORMATION_TECHNOLOGY
2018-11-23,ENERGY
2019-05-29,UTILITIES
2019-11-25,CONSUMER_STAPLES
2020-05-28,CONSUMER_STAPLES
2020-11-24,MATERIALS
2021-05-27,ENERGY
2021-11-24,UTILITIES
2022-05-26,INFORMATION_TECHNOLOGY
2022-11-25,ENERGY
2023-05-30,COMMUNICATION_SERVICES
